Gene,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8
RPS7P5,0,0,0,0,0,0,0,0
RPS8,0,0,0,0,0,0,0,0
RPS9,0,0,0,0,0,0,0,0
RPSA,0,0,0,0,0,0,0,0
RPSAP52,0,0,0,0,0,0,0,0
RPSAP58,0,0,0,0,0,0,0,0
RPSAP9,0,0,0,0,0,0,0,0
RPTN,0,0,0,0,0,0,0,0
RPTOR,0,0,0,0,0,0,0,0
RPUSD1,0,0,0,0,0,0,0,0
RPUSD2,0,0,0,0,0,0,0,0
RPUSD3,0,0,0,0,0,0,0,0
RPUSD4,0,0,0,0,0,0,0,0
RQCD1,0,0,0,0,0,0,0,0
RRAD,0,0,0,0,0,0,0,0
RRAGA,0,0,0,0,0,0,0,0
RRAGB,0,0,0,0,0,0,0,0
RRAGC,0,0,0,0,0,0,0,0
RRAGD,0,0,0,0,0,0,0,0
RRAS,0,0,0,0,0,0,0,0
RRAS2,0,0,0,0,0,0,0,0
RRBP1,0,0,0,0,0,0,0,0
RREB1,0,0,0,0,0,0,0,0
RRH,0,0,0,0,0,0,0,0
RRM1,0,0,0,0,0,0,0,0
RRM2,0,0,0,0,0,0,0,0
RRM2B,0,0,0,0,0,0,0,0
RRN3,0,0,0,0,0,0,0,0
RRN3P1,0,0,0,0,0,0,0,0
RRN3P2,0,0,0,0,0,0,0,0
RRN3P3,0,0,0,0,0,0,0,0
RRNAD1,0,0,0,0,0,0,0,0
RRP1,0,0,0,0,0,0,0,0
RRP12,0,0,0,0,0,0,0,0
RRP15,0,0,0,0,0,0,0,0
RRP1B,0,0,0,0,0,0,0,0
RRP36,0,0,0,0,0,0,0,0
RRP7A,0,3,28,9,9,15,37,7
RRP7B,0,0,42,3,14,16,48,7
RRP8,3,14,116,17,51,54,103,27
RRP9,0,0,1,0,1,5,4,0
RRPL13L,0,0,0,0,0,0,0,0
RRS1,0,0,0,0,0,0,0,0
RS1,0,0,0,0,0,0,0,1
RSAD1,0,0,0,0,0,0,0,0
RSAD2,0,0,0,0,0,0,0,0
RSBN1,0,0,0,0,0,0,0,0
RSBN1L,0,0,0,0,0,0,0,0
RSBN1L-AS1,0,0,0,0,0,0,0,0
RSC1A1,0,0,2,0,0,1,1,0
RSF1,0,0,0,1,1,0,1,0
RSG1,0,0,0,0,0,0,0,0
RSL1D1,0,0,0,0,0,0,0,0
RSL24D1,0,0,0,0,0,0,0,0
RSPH1,0,0,0,0,0,0,0,0
RSPH10B,0,0,1,0,0,1,2,1
RSPH10B2,0,0,0,0,0,0,0,0
RSPH3,0,0,0,0,0,0,0,0
RSPH4A,0,0,0,0,0,0,1,0
RSPH6A,0,0,0,0,0,0,0,0
RSPH9,0,0,0,0,0,0,0,0
RSPO2,0,0,0,0,0,0,0,0
RSPO3,0,0,0,0,0,1,0,0
RSPO4,0,0,0,0,0,0,1,0
RSPRY1,0,0,0,0,0,0,0,0
RSRC1,0,0,0,0,0,0,0,0
RSRC2,0,0,0,0,0,0,0,0
RSU1,0,0,0,0,0,0,0,0
RSU1P2,0,0,0,0,0,0,0,0
RTBDN,0,0,0,0,0,0,0,0
RTCA,0,0,0,0,0,0,0,0
RTCB,0,0,0,0,0,0,0,0
RTDR1,0,0,0,0,0,0,0,0
RTEL1,0,0,0,0,0,0,0,0
RTEL1-TNFRSF6B,0,0,0,0,0,0,0,0
RTF1,0,0,0,0,0,0,0,1
RTFDC1,0,0,0,0,0,0,0,0
RTKN,0,0,0,0,0,0,0,0
RTKN2,0,0,0,0,0,0,0,2
RTL1,0,0,0,0,0,0,0,0
RTN1,0,0,0,0,0,0,0,0
RTN2,0,0,0,0,0,0,0,0
RTN3,0,0,0,0,0,0,0,0
RTN4,0,0,0,0,0,0,0,0
RTN4IP1,0,0,0,0,0,0,0,0
RTN4R,0,0,0,0,0,0,0,0
RTN4RL1,0,0,0,0,0,0,0,0
RTN4RL2,0,0,0,0,0,0,0,0
RTP1,0,0,0,0,0,0,0,0
RTP2,0,0,0,0,0,0,0,0
RTP3,0,0,0,0,0,0,0,0
RTP4,0,0,0,0,0,0,0,0
RTTN,0,0,0,0,0,0,0,0
RUFY1,0,0,0,0,0,0,0,0
RUFY2,0,0,0,0,0,0,0,0
RUFY3,0,0,0,0,0,0,0,0
RUFY4,0,0,0,0,0,0,0,0
RUNDC1,0,0,0,0,0,0,0,0
RUNDC3A,0,0,0,0,0,0,0,0
RUNDC3B,0,0,0,0,0,0,0,0
RUNX1,0,0,0,0,0,0,0,0
RUNX1-IT1,0,0,0,0,0,0,0,0
RUNX1T1,0,0,0,0,0,0,0,0
RUNX2,0,0,0,0,0,0,0,0
RUNX3,0,0,0,0,0,0,0,0
RUSC1,0,0,0,0,0,0,0,0
RUSC1-AS1,0,0,0,0,0,0,0,0
RUSC2,0,0,0,0,0,0,0,0
RUVBL1,0,0,0,0,0,0,0,0
RUVBL2,0,0,0,0,0,0,0,0
RWDD1,0,0,0,0,0,0,0,0
RWDD2A,0,0,0,0,0,0,0,0
RWDD2B,0,0,0,0,0,0,0,0
RWDD3,0,0,4,0,1,0,6,0
RWDD4,0,0,0,0,0,0,0,0
RXFP1,0,0,0,0,0,0,0,0
RXFP2,0,0,0,0,0,0,0,0
RXFP3,0,0,0,0,0,0,0,0
RXFP4,0,0,0,0,0,0,0,0
RXRA,0,0,0,0,0,0,0,0
RXRB,0,0,0,0,0,0,0,0
RXRG,0,0,0,0,0,0,0,0
RYBP,0,0,0,0,0,0,0,0
RYK,0,0,0,0,0,0,0,0
RYR1,0,0,0,0,0,0,0,0
RYR2,0,0,0,0,0,0,0,0
RYR3,0,0,0,0,0,0,0,0
S100A1,0,0,0,0,0,0,0,0
S100A10,0,0,0,0,0,0,0,0
S100A11,0,0,0,0,0,0,0,0
S100A12,0,0,0,0,0,0,0,0
S100A13,0,0,0,0,0,0,0,0
S100A14,0,0,0,0,0,0,0,0
S100A16,0,0,0,0,0,0,0,0
S100A2,0,0,0,0,0,0,0,0
S100A3,0,0,0,0,0,0,0,0
S100A4,0,0,0,0,0,0,0,0
S100A5,0,0,0,0,0,0,0,0
S100A6,0,0,0,0,0,0,0,0
S100A7,0,0,0,3,0,0,0,0
S100A7A,0,0,0,0,0,1,0,0
