"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ADAMTS12",0.450798568328195,3.19415184120405,3.46433956552047,0.922008879555136,0.356523944009794,NA
"ADAMTS13",11.0956573504218,1.01966127138138,0.983581712313439,1.03668181160371,0.299884171323416,NA
"ADAMTS14",0.360638854662556,2.95170254159543,3.47253019828995,0.850014938113136,0.395316781158753,NA
"ADAMTS15",656.051028762516,-0.350052656570803,0.553604098400919,-0.63231586901529,0.527180496128496,0.838242736365487
"ADAMTS16",2.34217024463039,-4.14389464105583,2.09807914839069,-1.97508975971395,0.0482579627271693,NA
"ADAMTS17",0.618397067432192,-0.369036840324795,3.05905679955414,-0.12063745935629,0.903978197232713,NA
"ADAMTS18",3.63816190358848,1.90741367863115,1.57507231746481,1.2110006997655,0.225895136510324,NA
"ADAMTS19",2301.156665495,-0.54089507664953,0.494036469095027,-1.09484847877797,0.273583023716996,0.664551087884967
"ADAMTS2",1243.0543298326,0.135444258101394,0.472747426421164,0.286504485337439,0.77449175859359,0.934088346958557
"ADAMTS20",0,NA,NA,NA,NA,NA
"ADAMTS3",0.180319427331278,2.34671937898314,3.48636445809412,0.673113613677101,0.500875013643608,NA
"ADAMTS4",1307.31341786928,0.305399683427179,0.340230666485177,0.897625386277413,0.369385300197097,0.748062442797377
"ADAMTS5",25.5715474432985,0.0588301959899173,0.808657691315723,0.0727504315134849,0.942004716294211,NA
"ADAMTS6",574.805543306818,-0.076830406555516,0.521787774357708,-0.147244551005608,0.88293899718355,0.966701573299371
"ADAMTS7",92.2925491864702,0.0344655879211579,0.676172900653187,0.0509715605104315,0.959348182504791,0.988726625203664
"ADAMTS8",0,NA,NA,NA,NA,NA
"ADAMTS9",1.53271513231586,4.59681795162534,3.25043154616513,1.41421773888722,0.157297981141234,NA
"ADAMTSL1",67.251111296824,2.17067909302277,0.593892184914892,3.65500531604713,0.00025717664889038,0.0569737566619903
"ADAMTSL2",10914.8809897849,0.195760102105514,0.536803456732407,0.364677424577576,0.715352212329717,0.914600882389071
"ADAMTSL3",0,NA,NA,NA,NA,NA
"ADAMTSL4",1.00325350566435,0.843500644873453,2.35401115642031,0.35832482890869,0.720100239263721,NA
"ADAMTSL5",2602.1616150899,0.55467408999775,0.28023885747052,1.97929043461112,0.0477833159371985,0.322256628501298
"ADAP1",0,NA,NA,NA,NA,NA
"ADAP2",1833.59766804119,0.157804301526773,0.352565741332268,0.447588302058121,0.654450347114644,0.893556419384442
"ADAR",15.3080977441992,-0.0434886966162806,0.645929136314128,-0.0673273493504885,0.946321104648348,NA
"ADARB1",505.553556330195,0.25124601715991,0.315728748185554,0.795765411302528,0.426168399401829,0.78468764582266
"ADARB2",4.77408833312603,1.30875471317399,1.17889666422992,1.11015218965683,0.26693345101735,NA
"ADARB2-AS1",0.299367803573562,-1.0882071863252,3.46716958833895,-0.313860386288902,0.753627078297132,NA
"ADAT1",0,NA,NA,NA,NA,NA
"ADAT2",5.76062137057635,1.70951673787733,0.943543978069313,1.81180398329218,0.0700164894273694,NA
"ADAT3",2831.46847239996,-0.10900130023768,0.371691761864535,-0.293257240060666,0.769325534984382,0.930874962075179
"ADC",0.734773427238797,1.06426523840596,2.3811407286603,0.446956043209066,0.654906798097108,NA
"ADCK1",2.6376658788614,-1.2731302966595,1.35765204836325,-0.937744172517807,0.348375897363674,NA
"ADCK2",1.7262714815871,-1.65729180719168,1.74019991464304,-0.952357136238354,0.340915890102962,NA
"ADCK3",2596.69244690859,-0.506698640669401,0.419687536096595,-1.207323537368,0.227307569525882,0.623509810247667
"ADCK4",0,NA,NA,NA,NA,NA
"ADCK5",3.2225611790623,-0.121301593542132,1.40917052068852,-0.0860801384653322,0.931402712220702,NA
"ADCY1",0,NA,NA,NA,NA,NA
"ADCY10",6140.27785022933,0.230292080196446,0.326590939225487,0.705139220158971,0.480723601185995,0.817192234724451
"ADCY10P1",0.338301396241735,1.96619818516857,3.4795182356821,0.565077706736931,0.572020911091315,NA
"ADCY2",1.6749840820345,1.18962950528696,1.59072163361625,0.747855237614724,0.454547479719489,NA
"ADCY3",32.2334655423431,0.76206113197272,0.728012388237612,1.04676945651644,0.295205920617366,NA
"ADCY4",3.66511988522989,0.538981071794948,1.15322324982155,0.467369238244503,0.640235727313534,NA
"ADCY6",2060.66480075804,0.0581477247084776,0.27811708517199,0.209076420718701,0.834388581466699,0.95175317957839
"ADCY7",0,NA,NA,NA,NA,NA
"ADCY8",1201.82199679464,0.465714593524117,0.296786300993813,1.56919167752903,0.116603282858823,0.470842248381094
"ADCY9",1.15149098610025,-2.56353466538718,1.9267057557678,-1.33052733024385,0.183344587753584,NA
"ADCYAP1",944.079143546243,-0.159861095724531,0.452908194540162,-0.352965783467085,0.724114092473462,0.917241875825755
"ADCYAP1R1",37.5383371651331,-0.0605876139148749,0.660107529225704,-0.0917844612164069,0.926869290096529,0.980715444264234
"ADD1",4.00477461475993,4.0396976719858,2.16617025978966,1.86490311817782,NA,NA
"ADD2",28.3467126905085,-0.197773411734297,0.869220425683455,-0.227529641378124,0.820011923091514,NA
"ADD3",2.75303739674819,2.10791472282989,1.75835841849977,1.19879695780589,0.230606905785274,NA
"ADGB",0.0446013475484918,1.51351603510744,3.5106809539545,0.431117511092139,0.666382928676451,NA
"ADH1A",2802.95451878021,-0.185314197196321,0.359012546319437,-0.516177496012729,0.605730446236346,0.877084330292042
"ADH1B",0,NA,NA,NA,NA,NA
"ADH1C",61.860378770103,-1.74341832757664,0.850720991639504,-2.04934208125831,NA,NA
"ADH4",19.2462794272687,-0.485016570032084,0.795816421811243,-0.609457855780619,0.54222099918739,NA
"ADH5",1062.32978511464,0.45565710104524,0.428735477397498,1.06279308587001,0.28787579572806,0.678601647724695
"ADH6",1636.71256046779,-0.302857002695181,0.343931333137245,-0.880574037650494,0.378548415865622,0.752617823757262
"ADH7",2.42634091930723,-1.28200604574808,1.36933018393575,-0.936228574224016,0.349155514117051,NA
"ADHFE1",6.77779128379147,1.09505098716033,0.765686339854196,1.43015609677568,0.152672222878245,NA
"ADI1",2320.74660567641,-0.446260810739411,0.394749832107344,-1.13049018502954,0.258269731875848,0.649916441227678
"ADIG",0.233582670973923,0.504845239514261,3.48704631503195,0.144777325537082,0.88488668518577,NA
"ADIPOQ",0,NA,NA,NA,NA,NA
"ADIPOR1",0.840443001569205,-2.62791680051002,2.278768524681,-1.15321796489966,0.248820931575599,NA
"ADIPOR2",0,NA,NA,NA,NA,NA
"ADIRF",0.47968723090484,0.248513110364492,2.84089311474677,0.0874771067853581,0.930292281801896,NA
"ADK",913.167215292982,-0.254324600164203,0.37753334181147,-0.673648051702957,0.500535095938744,0.824264629905138
"ADM",5.80727937804916,1.06878503826644,1.01275898440267,1.05532022398874,0.29127889468197,NA
"ADM2",1.26223599131895,4.36362290886266,3.42846036892964,1.27276457631184,0.203101594828049,NA
"ADM5",5.90716475537065,0.0824343719002032,1.64800806342808,0.0500206119918665,0.960105962886287,NA
"ADNP",0.0901597136656391,1.85591512051529,3.49918309063674,0.530385256342093,0.59584484618825,NA
"ADNP2",2697.60261054046,0.857961392824944,0.917384597278819,0.935225417311193,0.349672142259805,0.733824128643013
"ADO",804.43531593877,0.267857465133187,0.363984168893379,0.735904162940806,0.461789023637309,0.805309348552642
"ADORA1",567.283876339387,0.54627314939488,0.499795091664191,1.09299422604558,0.274396334877115,0.664551087884967
"ADORA2A",1015.35097919503,1.15481759391834,0.371271000114397,3.11044383634195,0.00186806416970083,0.103518577233741
"ADORA2A-AS1",17.0060174154996,1.34497162301729,0.822269605374937,1.63568203692025,0.10190615087153,NA
"ADORA2B",1533.9252917497,0.693398731894707,0.320721825812,2.16199421457884,0.0306186221345237,0.267156453431715
"ADORA3",1.33091315156632,1.96233637988263,1.90594679419317,1.02958612793456,0.303204329927792,NA
"ADPGK",0,NA,NA,NA,NA,NA
"ADPGK-AS1",753.394408389065,-0.489670736106689,0.462788091640018,-1.05808845333813,0.290015118073024,0.679823473220987
"ADPRH",457.528120609958,-0.42570730986582,0.450551104942358,-0.944859096328891,0.344730816511828,0.727691408339243
"ADPRHL1",0.188024304856776,0.162446615378133,3.49858403921959,0.0464321032615151,0.962965849395682,NA
"ADPRHL2",0,NA,NA,NA,NA,NA
"ADPRM",0,NA,NA,NA,NA,NA
"ADRA1A",0.860807180705408,-0.48045764747639,2.40416347564876,-0.199844000769015,0.841602587743668,NA
"ADRA1B",0,NA,NA,NA,NA,NA
"ADRA1D",0,NA,NA,NA,NA,NA
"ADRA2A",0.635892951848637,0.528403626368641,2.57227040640079,0.205423047691165,0.837241614774843,NA
"ADRA2B",2.2178003611993,-1.73750208243638,1.8333129763604,-0.947738932108456,0.343262375986396,NA
"ADRA2C",0.754680453412401,-2.46114271400683,2.74985249565594,-0.895008993353208,0.370782280473441,NA
"ADRB1",6072.8817346085,0.264102426441238,0.415586785749449,0.63549283927536,0.525107035474392,0.836790871789406
"ADRB2",3706.2905021115,0.567048983600524,0.547353474533158,1.03598316258824,0.300209997692496,0.688457264843068
"ADRB3",5843.79512143588,-0.340146211582065,0.385542505990142,-0.882253464396898,0.377639755569514,0.752597531787651
"ADRBK1",0.270479140996917,2.67915270448555,3.47966949475485,0.769944590577934,0.441332761674383,NA
"ADRBK2",1088.35067721328,0.705407458224741,0.374682806062906,1.88267902025456,0.0597438802921317,0.359360129840316
"ADRM1",1.75808855863544,-1.33834539467729,1.46192734113657,-0.915466423684778,0.359946821413124,NA
"ADSL",0,NA,NA,NA,NA,NA
"ADSS",0.0901597136656391,1.85591512051529,3.49918309063674,0.530385256342093,0.59584484618825,NA
"ADSSL1",0.227718261292587,0.53843002343657,3.48855814971606,0.154341708043592,0.877340313021537,NA
"ADTRP",2.87729968465512,3.56216035725434,2.00447145747293,1.77710704932921,0.0755506285655396,NA
"AEBP1",0,NA,NA,NA,NA,NA
"AEBP2",0,NA,NA,NA,NA,NA
"AEN",2524.79629428835,-0.523825837081974,0.618322467590485,-0.847172575053353,0.396898937422889,0.764176790498096
"AES",0.0746436834948104,0.294060363721607,3.52067083642626,0.0835239581840885,0.933434928071694,NA
"AF007147",0.630160977090818,3.57026242053098,3.43283866182713,1.04003210527544,0.29832498499234,NA
"AF020763",0,NA,NA,NA,NA,NA
"AF035281",1442.09095210848,-0.67332245412713,0.423645493623456,-1.58935351434563,0.111980603255306,0.462521628825023
"AF047486",2.53961817277662,-1.09497671729732,1.28029048787359,-0.855256465363532,0.392409182809901,NA
"AF063596",0.267922443332243,-0.338806958244075,3.46879408023543,-0.0976728368439444,0.922192085458217,NA
"AF070569",4312.9258587974,0.97766520215681,0.356907436946482,2.73926822741834,0.00615761138643929,0.163312769902937
"AF072097",3.05885539323871,-0.848207228545527,1.21413533832447,-0.698610115175518,0.484795720554286,NA
"AF075036",1.94736095927514,1.3929646310598,1.54779972109498,0.899964389497603,0.368139201856059,NA
"AF079515",10.9947554200177,-0.250436609668545,0.813038211880599,-0.308025632755037,0.758062827867582,NA
"AF085995",0,NA,NA,NA,NA,NA
"AF086102",0,NA,NA,NA,NA,NA
"AF086125",0,NA,NA,NA,NA,NA
"AF086126",1.89474766185777,2.91801200957694,1.80230504806554,1.61904446348243,0.105437696681934,NA
"AF086132",0,NA,NA,NA,NA,NA
"AF086165",0,NA,NA,NA,NA,NA
"AF086184",0,NA,NA,NA,NA,NA
"AF086203",0,NA,NA,NA,NA,NA
"AF086219",0,NA,NA,NA,NA,NA
"AF086285",1.26223599131895,4.36362290886266,3.42846036892964,1.27276457631184,0.203101594828049,NA
"AF086351",25.328615667601,1.67788878594132,0.605614325296622,2.770556632919,0.0055960567718078,NA
"AF086476",0.180319427331278,2.34671937898314,3.48636445809412,0.673113613677101,0.500875013643608,NA
"AF088041",0.540958281993834,3.39559849259341,3.45841332154559,0.981837096057647,0.3261801094944,NA
"AF090102",0.0746436834948104,0.294060363721607,3.52067083642626,0.0835239581840885,0.933434928071694,NA
"AF090939",0,NA,NA,NA,NA,NA
"AF116693",0,NA,NA,NA,NA,NA
"AF119915",0,NA,NA,NA,NA,NA
"AF143871",0,NA,NA,NA,NA,NA
"AF157115",0,NA,NA,NA,NA,NA
"AF161365",0,NA,NA,NA,NA,NA
"AF198444",0,NA,NA,NA,NA,NA
"AF258550",0,NA,NA,NA,NA,NA
"AF258560",0.991049635697192,0.656544614297207,2.83179572491755,0.231847448783165,0.81665650216186,NA
"AF268386",0,NA,NA,NA,NA,NA
"AF279775",0,NA,NA,NA,NA,NA
"AF279780",0,NA,NA,NA,NA,NA
"AF279782",0,NA,NA,NA,NA,NA
"AF289551",0,NA,NA,NA,NA,NA
"AF339817",0,NA,NA,NA,NA,NA
"AF380582",0,NA,NA,NA,NA,NA
"AF401214",0,NA,NA,NA,NA,NA
"AF420437",0.254963110826088,1.62538065070077,3.48636436232475,0.466210780567108,0.641064633478538,NA
"AF520792",0,NA,NA,NA,NA,NA
"AF520793",0,NA,NA,NA,NA,NA
"AF532840",0,NA,NA,NA,NA,NA
"AFAP1",0,NA,NA,NA,NA,NA
"AFAP1-AS1",0,NA,NA,NA,NA,NA
"AFAP1L1",0.149287366989621,-0.373615092747,3.50614752659977,-0.106560003511697,0.915138050427896,NA
"AFAP1L2",0,NA,NA,NA,NA,NA
"AFF1",0,NA,NA,NA,NA,NA
"AFF2",0.164803397160449,1.13457695829874,3.499182943794,0.324240537440598,0.745755933968719,NA
"AFF4",0,NA,NA,NA,NA,NA
"AFG3L1P",1.24671996114812,3.56962663092241,2.9807691300125,1.19755220053136,0.231091394115135,NA
